YEAR,PHASE,RESP_BAT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2013,R,abret001,empty,87,83,24,36,5,2,1,0,1,4,0,21,0,0,0,0,0
2013,R,abret001,loaded,6,6,1,3,0,1,0,0,3,0,0,1,3,0,0,0,0
2013,R,abret001,menon,60,55,13,25,7,1,1,0,13,2,1,12,5,1,1,1,0
2013,R,abret001,scoring,33,29,7,13,4,1,0,0,10,2,1,7,3,1,0,1,0
2013,R,ackld001,empty,245,224,48,65,9,1,2,0,2,20,0,46,0,1,0,0,0
2013,R,ackld001,loaded,9,9,5,8,0,0,1,1,10,0,0,2,0,0,0,0,0
2013,R,ackld001,menon,182,160,49,66,9,1,2,1,29,17,1,26,6,0,4,1,0
2013,R,ackld001,scoring,97,87,24,34,4,0,2,1,27,8,1,16,4,0,1,1,0
2013,R,adamd001,empty,88,84,13,23,2,1,2,0,2,2,0,26,0,2,0,0,0
2013,R,adamd001,loaded,5,4,3,4,1,0,0,0,6,1,0,1,0,0,0,0,0
2013,R,adamd001,menon,64,56,14,17,3,0,0,0,11,7,0,17,4,0,1,0,0
2013,R,adamd001,scoring,38,30,9,12,3,0,0,0,11,7,0,8,1,0,1,0,0
2013,D,adamm002,empty,13,12,5,6,1,0,0,0,0,1,0,1,0,0,0,0,0
2013,L,adamm002,empty,12,11,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
2013,R,adamm002,empty,162,150,33,54,3,0,6,0,6,12,0,50,0,0,0,0,0
2013,W,adamm002,empty,13,13,2,3,1,0,0,0,0,0,0,4,0,0,0,0,0
2013,L,adamm002,loaded,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,R,adamm002,loaded,8,8,2,3,1,0,0,0,4,0,0,3,1,0,0,0,0
2013,D,adamm002,menon,8,7,1,4,0,0,1,0,2,0,0,2,0,1,0,0,0
2013,L,adamm002,menon,12,11,5,6,1,0,0,0,2,1,0,5,0,0,0,0,0
2013,R,adamm002,menon,157,146,51,95,11,0,11,0,45,11,0,30,9,0,0,0,0
2013,W,adamm002,menon,9,9,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2013,D,adamm002,scoring,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,L,adamm002,scoring,8,7,3,4,1,0,0,0,2,1,0,4,0,0,0,0,0
2013,R,adamm002,scoring,91,85,28,47,4,0,5,0,32,6,0,21,5,0,0,0,0
2013,W,adamm002,scoring,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2013,R,adduj002,empty,22,21,6,7,1,0,0,0,0,1,0,5,0,0,0,0,0
