game.key,game.source,game.date,game.number,site.key,season.phase,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
ALS199907130,evt,1999-07-13,0,BOS07,A,1,ALS,NLS,1,1,0,0,1,34,31,4,6,6,0,0,0,0,4,,2,0,10,0,1,0,0,1,0,0,6,1,1,0,0,0,1,1,0,1,27,36,32,1,1,7,9,2,0,0,0,4,0,12,2,0,0,0,0,0,0,0,0,9,2,149,97,1,27,41,27,12,2,3,0,0
ANA199904060,evt,1999-04-06,0,ANA01,R,1,ANA,CLE,1,1,0,0,1,35,32,6,11,18,1,0,2,0,6,,2,1,4,0,0,0,1,1,0,0,5,1,1,0,0,0,1,1,0,1,27,41,36,5,5,10,16,1,1,1,0,4,0,6,0,0,1,0,0,0,1,4,0,8,11,145,87,1,27,37,27,8,2,0,0,0
ANA199904070,evt,1999-04-07,0,ANA01,R,1,ANA,CLE,1,0,1,0,1,34,31,1,4,4,0,0,0,0,1,,3,0,12,0,0,0,0,0,1,0,6,1,1,0,0,0,1,0,1,0,27,47,40,9,7,13,17,4,0,0,0,6,0,7,1,1,0,0,0,0,0,4,1,11,8,188,111,1,27,39,27,11,1,1,0,0
ANA199904080,evt,1999-04-08,0,ANA01,R,1,ANA,CLE,1,0,1,0,1,32,31,1,4,8,1,0,1,0,1,,1,0,5,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,27,48,39,9,8,13,21,3,1,1,0,7,0,8,0,1,0,1,0,3,0,0,0,9,9,182,105,1,27,38,27,9,2,0,0,0
TEX199904090,evt,1999-04-09,0,ARL02,R,0,ANA,TEX,1,1,0,0,1,41,39,8,12,26,5,0,3,0,8,,1,0,7,0,0,1,0,0,0,0,6,1,1,0,0,0,1,1,0,0,27,36,35,4,4,10,17,1,0,2,0,1,0,8,1,0,0,0,0,1,0,0,0,11,6,132,87,1,27,40,27,12,1,1,0,0
TEX199904100,evt,1999-04-10,0,ARL02,R,0,ANA,TEX,1,1,0,0,1,47,42,10,19,21,2,0,0,0,8,,4,0,5,2,0,0,1,0,1,0,10,1,1,0,1,1,1,1,0,0,27,30,29,0,0,3,3,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,12,11,110,66,1,27,39,27,12,0,1,0,0
TEX199904110,evt,1999-04-11,0,ARL02,R,0,ANA,TEX,1,0,1,0,1,40,35,3,6,12,1,1,1,0,2,,5,0,12,0,0,0,0,0,0,0,10,1,1,0,0,0,1,0,1,0,24,38,34,6,5,12,18,2,2,0,0,3,0,3,2,0,0,1,0,0,0,2,0,13,6,135,77,1,24,39,24,14,1,2,0,0
TEX199904120,evt,1999-04-12,0,ARL02,R,0,ANA,TEX,1,1,0,0,1,48,46,13,20,30,10,0,0,0,12,,1,0,7,0,0,0,1,1,0,0,8,1,1,0,0,0,1,1,0,0,27,42,34,5,5,7,11,1,0,1,0,8,0,8,0,0,0,0,0,0,0,0,0,4,15,172,97,1,27,30,27,3,0,0,0,0
OAK199904130,evt,1999-04-13,0,OAK01,R,0,ANA,OAK,1,0,1,0,1,37,34,2,9,11,2,0,0,0,2,,2,0,2,1,1,0,0,0,1,0,8,1,1,0,0,0,1,0,1,0,24,34,31,3,2,7,7,0,0,0,0,3,0,7,0,0,0,0,0,2,0,0,0,7,9,159,92,1,24,32,24,6,2,1,0,1
OAK199904140,evt,1999-04-14,0,OAK01,R,0,ANA,OAK,1,0,1,0,1,36,32,5,9,9,0,0,0,0,3,,2,0,5,2,0,2,0,0,0,0,4,1,1,0,0,0,1,0,1,0,24,37,29,6,6,7,9,2,0,0,0,6,0,4,0,0,1,1,0,0,0,5,3,9,10,140,73,1,24,34,24,10,0,0,0,0
OAK199904150,evt,1999-04-15,0,OAK01,R,0,ANA,OAK,1,1,0,0,1,50,44,12,18,30,3,0,3,1,12,,4,0,5,1,2,0,0,0,0,0,11,1,1,0,0,0,1,1,0,0,27,33,29,1,1,5,10,2,0,1,0,4,0,4,3,0,0,0,0,1,0,0,0,12,8,123,72,1,27,42,27,15,0,3,0,0
ANA199904160,evt,1999-04-16,0,ANA01,R,1,ANA,SEA,1,1,0,0,1,41,37,9,14,24,4,0,2,1,9,,2,0,4,0,2,0,0,0,0,0,8,1,1,0,0,0,1,1,0,0,27,35,31,5,5,5,12,1,0,2,0,4,0,6,0,0,0,0,0,0,0,0,0,9,11,134,83,1,27,37,27,10,0,1,0,0
ANA199904170,evt,1999-04-17,0,ANA01,R,1,ANA,SEA,1,0,1,0,1,42,37,3,8,12,1,0,1,0,3,,4,0,9,1,0,1,0,2,0,0,9,1,1,0,0,0,1,0,1,0,30,41,36,4,4,7,15,0,1,2,0,5,0,6,1,0,0,0,0,1,0,3,0,7,14,131,76,1,30,40,30,9,1,2,0,0
ANA199904180,evt,1999-04-18,0,ANA01,R,1,ANA,SEA,1,0,1,0,1,37,32,5,10,17,1,0,2,0,5,,2,0,4,4,3,0,0,0,1,0,5,1,1,0,0,0,1,0,1,0,27,41,37,8,8,10,21,2,0,3,0,3,0,2,0,1,0,0,0,0,0,2,0,7,17,139,79,1,27,35,27,7,1,0,0,0
TOR199904200,evt,1999-04-20,0,TOR02,R,0,ANA,TOR,1,0,1,0,1,37,35,1,8,10,2,0,0,0,1,,2,0,8,0,0,0,0,1,0,0,9,1,1,0,0,0,1,0,1,0,24,36,31,5,5,7,11,1,0,1,0,4,0,8,0,1,0,0,0,1,0,1,1,4,12,155,95,1,24,27,24,3,0,0,0,0
TOR199904210,evt,1999-04-21,0,TOR02,R,0,ANA,TOR,1,0,1,0,1,42,34,2,8,12,1,0,1,0,2,,6,0,5,1,1,1,0,0,0,0,13,1,1,0,0,0,1,0,1,0,24,35,32,3,3,10,16,3,0,1,0,1,0,5,1,2,0,0,0,1,0,3,0,8,8,134,83,1,24,31,24,7,0,1,0,0
TOR199904220,evt,1999-04-22,0,TOR02,R,0,ANA,TOR,1,0,1,0,1,38,35,7,8,20,3,0,3,0,7,,3,0,9,0,0,0,0,1,0,0,4,1,1,0,0,0,1,0,1,0,24,42,34,8,8,13,27,2,0,4,0,6,0,4,0,0,2,0,0,0,0,7,2,10,7,158,87,1,24,36,24,12,0,0,0,0
KCA199904230,evt,1999-04-23,0,KAN06,R,0,ANA,KCA,1,1,0,0,1,36,33,4,6,7,1,0,0,0,2,,3,0,8,0,0,0,0,0,0,0,5,1,1,0,0,0,1,1,0,1,27,34,30,2,2,4,5,1,0,0,0,4,0,8,1,0,0,0,0,0,0,1,0,12,6,122,73,1,27,37,27,10,0,1,0,0
